,Symbol,Company Name,Industry,Market Cap
410,ARLP,"alliance-resource-partners,",Thermal Coal,2705220000
411,ARM,arm-holdings,Semiconductors,72791613929
412,ARMK,aramark,Specialty Business Services,7782203610
413,ARMN,aris-mining,Gold,430728125
414,ARMP,armata-pharmaceuticals,Biotechnology,142056138
415,AROC,archrock,Oil & Gas Equipment & Services,2535942500
416,AROW,arrow-financial,Banks - Regional,412397154
417,ARQ,arq-inc,Pollution & Treatment Controls,117765312
418,ARQQ,arqit-quantum,Software - Infrastructure,70550530
419,ARQT,arcutis-biorapeutics,Biotechnology,587531082
420,ARR,armour-residential-reit,REIT - Mortgage,946591128
421,ARRW,arrowroot-acquisition,Shell Companies,121044487
422,ARRY,array-technologies,Solar,2068634880
423,ARTL,artelo-biosciences,Biotechnology,4368875
424,ARTNA,artesian-resources,Utilities - Regulated Water,373131910
425,ARTW,art's-way-manufacturing-co,Farm & Heavy Construction Machinery,10670384
426,ARVN,arvinas,Biotechnology,2529522235
427,ARW,arrow-electronics,Electronics & Computer Distribution,6028482814
428,ARWR,arrowhead-pharmaceuticals,Biotechnology,3957862480
429,ARYD,arya-sciences-acquisition-corp-iv,Shell Companies,87993374
430,AS,amer-sports,Specialty Retail,7318019125
431,ASA,asa-gold-and-precious-metals,Asset Management,279703550
432,ASAI,sendas-distribuidora,Grocery Stores,3660755640
433,ASAN,asana,Software - Application,3912072365
434,ASB,associated-banc-corp,Banks - Regional,3100307600
435,ASC,ardmore-shipping,Marine Shipping,670227588
436,ASCA,a-spac-i-acquisition,Shell Companies,40916652
437,ASCB,a-spac-ii-acquisition,Shell Companies,79165864
438,ASGN,asgn-incorporated,Information Technology Services,4418864000
439,ASH,ashland,Specialty Chemicals,4650414804
440,ASIX,advansix,Chemicals,678694166
441,ASLE,aersale,Airports & Air Services,469175984
442,ASLN,aslan-pharmaceuticals,Biotechnology,10576844
443,ASM,avino-silver-&-gold-mines,Other Precious Metals & Mining,59871075
444,ASMB,assembly-biosciences,Biotechnology,65135466
445,ASML,asml-holding,Semiconductor Equipment & Materials,351444967394
446,ASND,ascendis-pharma,Biotechnology,7250202972
447,ASNS,actelis-networks,Communication Equipment,3098306
448,ASO,academy-sports-and-outdoors,Specialty Retail,4781282272
449,ASPI,asp-isotopes,Pharmaceuticals,135589774
450,ASPN,aspen-aerogels,Building Products & Equipment,867729975
451,ASPS,altisource-portfolio-solutions,Real Estate Services,77103360
452,ASR,"grupo-aeroportuario-del-sureste,-s-a-b-de-c-v",Airports & Air Services,8924700019
453,ASRT,assertio-holdings,Drug Manufacturers - Specialty & Generic,74314773
454,ASRV,ameriserv-financial,Banks - Regional,53671049
455,ASST,asset-entities,Internet Content & Information,9909303
456,ASTC,astrotech,Aerospace & Defense,13596653
457,ASTE,astec-industries,Farm & Heavy Construction Machinery,819751765
458,ASTI,ascent-solar-technologies,Solar,2519951
459,ASTL,algoma-steel-group,Steel,861684795
460,ASTR,astra-space,Aerospace & Defense,42512496
461,ASTS,ast-spacemobile,Telecom Services,711829562
462,ASUR,asure-software,Software - Application,227139968
463,ASX,ase-technology-holding-co,Semiconductors,17909595149
464,ASXC,asensus-surgical,Medical Devices,70995546
465,ASYS,amtech-systems,Semiconductor Equipment & Materials,57331640
466,ATAI,atai-life-sciences,Biotechnology,293837700
467,ATAT,atour-lifestyle-holdings,Lodging,2454694943
468,ATEC,alphatec-holdings,Medical Devices,2265322620
469,ATEK,ana-technology-acquisition-corp-ii,Shell Companies,133446403
470,ATEN,a10-networks,Software - Infrastructure,974917330
471,ATER,aterian,"Furnishings, Fixtures & Appliances",31574655
472,ATEX,anterix,Telecom Services,585802337
473,ATGE,adtalem-global-education,Education & Training Services,1896312159
474,ATGL,alpha-technology-group,Software - Infrastructure,194139000
475,ATHA,athira-pharma,Biotechnology,119110898
476,ATHE,alterity-rapeutics,Biotechnology,14465137
477,ATHM,autohome,Internet Content & Information,2804813920
478,ATI,ati-inc,Metal Fabrication,4994639550
479,ATIF,atif-holdings,Capital Markets,8553980
480,ATIP,ati-physical-rapy,Medical Care Facilities,26056223
481,ATKR,atkore,Electrical Equipment & Parts,5520757473
482,ATLC,atlanticus-holdings,Credit Services,499330125
483,ATLO,ames-national,Banks - Regional,176965906
484,ATLX,atlas-lithium,Other Precious Metals & Mining,245044096
485,ATMC,alphatime-acquisition,Shell Companies,97569360
486,ATMU,atmus-filtration-technologies,Pollution & Treatment Controls,1891692947
487,ATMV,alphavest-acquisition,Shell Companies,99149400
488,ATNF,180-life-sciences,Biotechnology,2048844
489,ATNI,atn-international,Telecom Services,566585910
490,ATNM,actinium-pharmaceuticals,Biotechnology,145291020
491,ATO,atmos-energy,Utilities - Regulated Gas,17160384180
492,ATOM,atomera,Semiconductor Equipment & Materials,206649990
493,ATOS,atossa-rapeutics,Biotechnology,106884312
494,ATPC,agape-atp,Packaged Foods,39823183
495,ATR,aptargroup,Medical Instruments & Supplies,8558147130
496,ATRA,atara-biorapeutics,Biotechnology,157617900
497,ATRC,atricure,Medical Instruments & Supplies,1578256830
498,ATRI,atrion,Medical Instruments & Supplies,594825920
